sauber	clean
sauber machen	to clean
reinigen	to clean
das Fensterbrett	the window sill
die Fensterbank	the window sill
der Gleichstrom	the direct current
der Wechselstrom	the alternating current
die Weiche	the track switch	ж/д стрелка
die Weiche	the deflector
abweichen	to differ
der Wecker	the alarm clock
die Windel	the diaper
die Rüstung	the armament
der Wirt	the host
das Wirtshaus	the pub
das Wirtshaus	the inn
die Wiese	the meadow
die Weide	the pasture
das Tal	the valley
die Handschellen	the handcuffs
die Pauschale	the flat-rate
die Ader	the vein
die Vene	the vein
ansprechend	appealing
ansprechend	attractive
die Schnur	the cord
die Sprengung	the explosion
die Ausrüstung	the gear
die Ausrüstung	the equipment
die Verstümmelung	the mutilation
die Verschandelung	the mutilation
zurückstellen	to reset
der Kiefer	the jaw
der Oberst	the colonel
der Schlauch	the hose
der Schlauch	the tube
der Nabel	the navel
die Schützengraben	the trench
der Zaun	the fence
die Ächtung	the ostracism
entartet	degenerate
siedeln	to settle
die Sachlichkeit	the objectivity
die Trümmer	the debris
schweben	to hover
zurechtkommen	to manage
zurechtkommen	to get by
die Tafel	the panel
die Tafel	the board
senkrecht	perpendicular
die Schmankerl	the delicacies
die Feinkost	the delicacies
die Köstlichkeiten	the delicacies
der Behälter	the container
in Kauf nehmen	to accept
auftauchen	to turn up
auftauchen	to emerge
die Rippe	the rib
das Leck	the leak
der Zorn	the wrath
maßgeschneidert	tailored
maßgeschneidert	custom
hintergehen	to betray
hintergehen	to deceive
schürfen	to mine
der Streifen	the strip
der Amoklauf	the rampage
das Unkraut	the weed
lehnen	to lean
verschreiben	to prescribe
zerlegen	to disassemble
zerlegen	to decompose
zerlegen	to dismantle
ausklappen	to unfold
bummeln	to stroll
bummeln	to wander
beneiden	to envy
die Mütze	the hat
die Mütze	the cap
stricken	to knit
der Hirt	the shepherd
ausrichten	to pass on
ausrichten	to align
die Wartung	the maintenance
pflegen	to maintain
halten	to maintain
beibehalten	to maintain
platzen	to burst
platzen	to crack
