num,front,back,side
1,Comment tu t'appelles?,Wie heißt du?,
2,Où habite-tu?,Wo wohnst du?,
3,J'habite à Berlin,Ich wohne in Berlin,
4,Je parle un peu français,Ich spreche ein bisschen Französisch,
5,Quel âge as-tu?,Wie alt bist du?,
6,J'ai quarante-cinq ans,Ich bin fünfundvierzig Jahre alt,
7,Aimes-tu la musique?,Magst du die Musik?,
8,Tu viens d'où?,Woher kommst du?,
9,Je viens de Russie,Ich komme aus Russland,
10,Que fais-tu en ce moment?,Was machst du gerade?,
11,J'apprends le français,Ich lerne Französisch,
12,Sais-tu jouer de la guitare?,Kannst du Gitarre spielen?,
13,"Non, je ne sais pas jouer de la guitare","Nein, ich weiß nicht, wie man Gitarre spielt",
14,Je connais très bien la ville de Moscou,Ich kenne Moskau sehr gut,
15,Est-ce que tu portes des lunettes?,Trägst du eine Brille?,
16,Parfois je porte des lunettes,Manchmal trage ich eine Brille,
17,Es-tu partie en vacances cet été?,Bist du diesen Sommer in einen Urlaub gefahren?,
18,"Oui, cet été je suis partie en vacances dans le sud de la France","Ja, diesen Sommer habe ich den Urlaub in Südfrankreich gemacht",
19,"Je crois que je préfère les pommes,  c'est le meilleur fruit","Ich glaube, dass ich Äpfel bevorzuge, es ist die beste Frucht",
20,Tu as mal où?,Wo tut es dir weh?,
21,J'ai mal à la tête,Ich habe Kopfschmerzen,
22,À quoi tu penses?,Worüber denkst du?,
23,"On s'ennuie, non?","Wir langweilen uns, oder?",
24,On s'ennuie grave,Wir langweilen uns ernsthaft,
25,Est-ce que tu veux boire quelque chose?,Willst du etwas trinken?,
26,"Oui, je veux boire de l'eau avec du citron","Ja, ich möchte Wasser mit Zitrone trinken",
27,Est-ce que vous pouvez nous prendre en photo?,Können Sie uns fotografieren?,
28,Tu as perdu quelque chose?,Hast du etwas verloren?,
29,J'ai perdu mes clefs,Ich habe meine Schlüssel verloren,
30,Pourquoi tu rigoles?,Warum lachst du?,
31,Parce que tu es drôle,Weil du lustig bist,
32,Je ne comprends pas,Ich verstehe nicht,
