num,front,back,side
1,I've been doing it not for a long time yet.,Das mache ich noch nicht lange.,
2,until late at night,bis spät Nacht,
3,I'm bored,ich langweile mich,
4,on foot,zu Fuß,
5,it seems to me,es kommt mir vor,
6,I'm leaving at 9 PM.,Ich verlasse um 9 PM.,
7,It takes me 20 minutes to go to work.,"Ich brauche 20 Minuten, um zur Arbeit zu gehen.",
8,Within this month you should find another flat.,In diesem Monat musst du eine andere Wohnung finden.,
9,In the end we got the flat that we liked the most.,"Am Ende haben wir die Wohnung bekommen, die uns am besten gefallen hat.",
10,I can be mistaken,ich kann mich irren,
11,I can be wrong,ich kann falsch liegen,
12,in the seventies,in den siebziger Jahren,
13,as the SU fell apart,als die SU auseinander brach,
14,It is represented in different ways.,Es ist unterschiedlich dargestellt.,
15,to pass the exam,bestehen die Prüfung,
16,to be honest,um ehrlich zu sein,
17,As I started to work in the IT,"Als ich angefangen habe, in der IT zu arbeiten",
18,to coordinate with others,sich abstimmen mit anderen,
19,The spark that finally ignites the powder keg,"Der Funke, der das Pulverfass schlussendlich zündet",
20,"Say, what is on your mind.","Sag mal, was dir auf dem Herzen liegt.",
21,"The bigger the army, the more money it can collect.","Je größer die Armee ist, desto mehr Geld kann sie sammeln.",
22,the more the better,je mehr desto besser,
23,That depends heavily on others.,Das hängt stark von anderen ab.,
24,at least so far,bislang zumindest,
25,In what way?,Inwiefern?,
26,Since I've started to learn German,"Seit ich angefangen habe, Deutsch zu lernen",
27,in this sense,in dieser Hinsicht,
28,The words can be ordered arbitrarily.,Die Worte können beliebig angeordnet werden.,
29,it is enough,es reicht,
30,it persists,es besteht fort,
31,it persists,es bleibt bestehen,
32,to deal with something,sich mit etwas beschäftigen,
33,to dedicate time to something,Zeit auf etwas verwenden,
34,to waste time on something,Zeit mit etwas verschwenden,
35,The force is directed on a point,Die Kraft ist gerichtet auf einen Punkt,
36,the one does not exclude the other,das eine schließt das andere nicht aus,
37,than ever before,als je zuvor,
38,"I've noticed, that...","Es ist mir aufgefallen, dass...",
39,"I've noticed, that...","Ich habe bemerkt, dass...",
40,to call a lawyer,einen Anwalt einschalten,
41,I already mentioned in passing,Ich erwähnte schon im Vorübergehen,
42,I am working from home,Ich arbeite von zu Hause,
43,There is something in it!,Da ist etwas dran!,
44,Do you have something in mind?,Hast du etwas vor?,
45,according to the circumstances,den Umständen entsprechend,
46,I was interested in the way a language is defined.,"Ich interessierte mich dafür, wie man eine Sprache definiert.",
47,I have an interest for,Ich habe Interesse an,
48,to get into a situation,in eine Situation kommen,
49,I thought about what would I do if I didn't need money.,"Ich habe darüber nachgedacht, was ich machen würde, wenn ich kein Geld bräuchte.",
50,I started to learn from 16.,Ich habe mit 16 angefangen zu studieren.,
51,The topic is for discussion.,Das Thema steht zur Diskussion.,
52,self-proclaimed ruler,selbst ernannter Herrscher,
53,by default,standardmäßig,
54,to ask a question,eine Frage stellen,
55,to fulfill the conditions,die Auflagen erfüllen,
56,this can not be the question,das kann nicht die Rede sein,
57,They reported that the stench was unbearable.,"Sie berichteten, dass der Gestank unerträglich gewesen sei.",
58,He does that out of conviction.,Er macht das aus Überzeugung.,
59,What bothers you?,Was stört dich?,
60,I don't feel like it.,Ich habe keine Lust darauf.,
61,We are working hard on the solution.,Wir arbeiten mit Hochdruck an der Lösung.,
62,The reactions were not long in coming.,Die Reaktionen ließen nicht lange auf sich warten.,
63,in certain aspects,in gewisser Hinsicht,
64,partially yes,teilweise ja,
65,determined to win,zum Sieg entschlossen,
66,They can try to find something.,"Sie können versuchen, etwas zu finden.",
67,in the worst case,im allerschlimmsten Fall,
68,to strap the belt tight,den Gürtel enger schnallen,
69,What the book was that?,Was für ein Buch war es?,
70,I imagine it as ...,Ich stelle mir das vor als ...,
71,go the path of least resistance,den Weg des geringsten Widerstands gehen,
72,the plait,der Zopf,
73,I prepare for a presentation.,Ich bereite mich auf eine Präsentation vor.,
74,He returned a couple of days ago.,Er ist vor ein paar Tagen zurückgekommen.,
75,From what I've read,"Von dem, was ich gelesen habe",
76,to cross the street,die Straße überqueren,
77,to forward an email,eine Email weiterleiten,
78,to set up a meeting,ein Meeting vereinbaren,
79,to get along with somebody,sich mit jemandem verstehen,
