skalieren	to scale
das Individuum	the individual
nicken	to nod
das Fitnessstudio	the gym
die Fluggesellschaft	the air company
schmeicheln	to bootlick
raspeln	to rasp
glimpflich davonkommen	to get away lightly
das Grinsen	the grin
wachsen	to grow
bohren	to bore
der Fleck	the spot
der Fels	the rock
die Errungenschaft	the accomplishment
der Winkel	the angle
blass	pale
nackt	naked
der Beton	the concrete
grob	rough
besiedelt	populated
das Drama	the drama
die Aufwand	the effort
der Quellcode	the source code
vererrt	distorted
moderat	moderate
der Vorgesetzte	the superior
einfügen	to insert
die Spaltung	the split
angemessen	adequate
die Leitfähigkeit	the conductivity
die Wärmestrahlung	the thermal radiation
die Platte	the plate
die Kraftwerk	the power plant
die Erzeugung	the generation
der Dampf	the steam
entweichen	to exhaust
explodieren	to explode
der Brennstab	the fuel rod
freisetzen	to free up
ausfallen	to fall out
verseuchen	to contaminate
vertuschen	to hush up
die Verflechtung	the interdependency
die Lücke	the gap
der Faden	the thread
gehorchen	to obey
die Schande	the shame
nachsehen	to look through
die Blase	the bubble
kopfüber	upside down
die Hemmung	the inhibition
verdächtigen	to suspect
das Gemälde	the painting
der Streit	the dispute
versagen	to fail
das Mittelalter	the medieval times
vertraut	familiar
die Strömung	the stream
anpacken	to tackle
anpacken und machen	tackle and do
der Teint	the complexion
verschandeln	to blight
zustimmen	to accept
auswendig	by heart
abhalten	to detain
widerrechtlich	illegal
der Übergriff	the infringement
das Heimweh	the homesickness
der Hang	the slope
marode	ailing
übergeben	to transfer
sich abstimmen	to coordinate
übersehen	to overlook
heilen	to heal
subventionieren	to subsidize
unbewiesen	unproven
knarren	to creak
dösen	to doze
der Hahn	the tap
streichen	to spread
abräumen	to clear away
der Geschirrspüler	the dishwasher
sich die Zähne putzen	to brush one's teeth
sich rasieren	to shave
der Anhang	the attachment
hochfahren	to warm up
runterfahren	to shut down
der Einwand	the objection
die Steckdose	the plug socket
der Stecker	the plug
ordentlich	fair
zurückhaltend	conservative
erfinderisch	inventive
treu	faithful
bescheiden	modest
ehrgeizig	overambitious
verständnisvoll	comprehensive
gefühlsbetont	emotional
zuverlässig	reliable
gerecht	just
gründlich	thorough
großzügig	generous
umstellen	to reposition
der Heimwerker	the handyman
verlangen	to demand
sanft	gentle
der Sumpf	the marsh
das Fachwort	the technical term
langatmig	verbose
die Färbung	the dye
das Eindringen	the intrusion
Kindesmisshandlung	child abuse
einarbeiten	to incorporate
die Beförderung	the promotion
die Abstufung	the grade
die Gehaltserhöhung	the salary increase
erobern	to conquer
verschwommen	blurred
die Handlung	the plot
empört	outraged
das Ausmaß	the extent
die tragende Wände	the bearing walls
zugänglich	accessible
