num,front,back,side
1,merry,frohe,
2,the cloud,die Wolke,
3,the fog,der Nebel,
4,the storm,das Gewitter,
5,the consequence,die Folge,
6,comfortable,bequem,
7,charming,charmant,
8,the character,das Zeichen,
9,the drawing,die Zeichnung,
10,the question mark,das Fragezeichen,
11,the exclamation mark,das Ausrufezeichen,
12,the little branch,der Zweig,
13,the strong branch,der Ast,
14,the tree core,der Stamm,
15,the diary,das Tagebuch,
16,to iron,bügeln,
17,to whisper,flüstern,
18,embarassing,peinlich,
19,the courage,der Mut,
20,the toe,der Zeh,
21,the nightmare,der Albtraum,
22,the nurse,die Nonne,
23,the pain,der Schmerzen,
24,to hurt,wehtun,
25,the heating,die Heizung,
26,the bush,der Busch,
27,the hedge,die Hecke,
28,the song,das Lied,
29,necessarily,unbedingt,
30,to complete,abschließen,
31,the song writer,der Liedermacher,
32,the garbage container,die Mülltone,
33,the trash basket,der Mülleimer,
34,comfortable,gemütlich,
35,the neighbourhood,das Stadtviertel,
36,the sightseeing,die Sehenswürdigkeit,
37,the letter box,der Briefkasten,
38,the sofa,das Sofa,
39,the couch,der Couch,
40,to turn around,wenden,
41,to turn,abbiegen,
42,the economics,die Wirtschaft,
43,to sigh,seufzen,
44,the twin,der Zwilling,
45,to visit,besichtigen,
46,Watch out!,Pass auf!,
47,the tie,die Krawatte,
48,the corner,die Ecke,
49,difficult,schwierig,
50,dizzy,schwindlich,
51,the draw,unentschieden,ничья
52,to catch,fangen,
53,to begin,anfangen,
54,to clean up,aufräumen,
55,to mean,meinen,
56,the business trip,die Dienstreise,
57,to puke,kotzen,
58,the horn,die Hupe,
59,the ship,das Schiff,
60,to invite,einladen,
61,to survive,überleben,
62,the silence,das Schweigen,
63,the grand piano,der Konzertflügel,
64,to draw,zeichnen,
65,to paint,malen,
66,the bite,der Biss,
67,favourite,lieblings,
68,divorced,geschieden,
69,to erase,löschen,
70,nervous,nervös,
71,the appointment,die Verabredung,
72,the direction,die Richtung,
73,the route,die Strecke,
74,the district,der Bezirk,
75,to cancel,kündigen,
76,the notification,die Mitteilung,
77,the poverty,die Armut,
78,the advantage,der Vorteil,
79,to fight,streiten,
80,the permission,die Erlaubnis,
81,to promise,versprechen,
82,the property,das Eigentum,имущество
83,the majority,die Mehrheit,
84,the minority,die Minderheit,
85,the government,die Regierung,
86,true,wahr,
87,fluent,fließend,
88,drunk,betrunken,
89,the ratio,das Verhältnis,
90,the opportunity,die Gelegenheit,
91,alive,lebendig,
92,to prefer,vorziehen,
93,the comic,der Comic,комикс
94,the novel,der Roman,
95,the thriller,der Krimi,
96,the magazine,die Zeitschrift,
97,the fairy tale,das Märchen,
98,the non-fiction book,das Sachbuch,
99,the advisor,der Ratgeber,
100,the audiobook,das Hörbuch,
101,to accompany,begleiten,
102,the steward,der Begleiter,
103,actually,eigentlich,
104,although,obwohl,
105,the quote,das Zitat,
106,the boiler,der Kessel,
107,to melt,schmelzen,
108,to admit,zugeben,
109,Latin,das Latein,
110,even,sogar,
111,the cap,die Kappe,
112,the order,der Befehl,
113,weird,seltsam,
114,constantly,dauernd,
115,to serve,bedienen,
116,the remote control,die Fernbedienung,
117,because of,wegen,
118,secretly,heimlich,
119,far away,weitweg,
120,the memory,das Gedächtnis,
121,the criminal,der Verbrecher,
122,greedy,gierig,
123,the experience,die Erfahrung,
124,the greed,die Gier,
125,stingy,geizig,
126,to resemble,ähneln,
127,dizzy,schwindlig,
128,single,ledig,
129,the thing,die Sache,
130,the announcement,die Durchsage,
131,the salutation,die Anrede,обращение
132,the subject,der Betreff,
133,the change,der Wechsel,
134,nowadays,zurzeit,
135,the registry office,das Standesamt,ЗАГС
136,to click,anklicken,
137,the flea market,der Flohmarkt,
138,to find out,herausfinden,
139,to look up,nachschauen,
140,neat,prima,
141,to exchange,tauschen,
142,the banknote,der Geldschein,
143,the coupon,der Gutschein,
144,the receipt,der Beleg,
145,the piece of paper,der Zettel,
146,the entrance ticket,die Eintrittskarte,
147,the business card,die Visitenkarte,
148,the bank statement,der Kontoauszug,
149,the driver license,der Führerschein,
150,to be in a hurry,in eile sein,
